Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43
"gMg(For)2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gKCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gCaCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gMgCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gNaHCO3,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gCaHCO3+,0.0649,0.0649,0.0649,0.0649,0.0649,0.0650,0.0655,0.0700,0.0848,0.0849,0.0658,0.0570,0.0407,0.0403,0.0225,0.0117,-0.0494,-0.1166,-0.1167,-0.1467,-0.2835,-0.4550,-0.5556,-0.5558,-0.6112,-0.6131,-0.6522,-0.6545,-0.6558,-0.8664,-0.9051,-1.0731,-1.0731,-1.0731,-1.0791,-1.1262,-1.1262,-1.1262,-1.1262,-1.1262,-1.1263,-1.1263,-1.1993,-1.1993
gMgOH+,0.0649,0.0649,0.0649,0.0649,0.0649,0.0650,0.0655,0.0700,0.0848,0.0849,0.0658,0.0570,0.0407,0.0403,0.0225,0.0117,-0.0494,-0.1166,-0.1167,-0.1467,-0.2835,-0.4550,-0.5556,-0.5558,-0.6112,-0.6131,-0.6522,-0.6545,-0.6558,-0.8664,-0.9051,-1.0731,-1.0731,-1.0731,-1.0791,-1.1262,-1.1262,-1.1262,-1.1262,-1.1262,-1.1263,-1.1263,-1.1993,-1.1993
gHCO3-,-0.1892,-0.1892,-0.1892,-0.1892,-0.1892,-0.1892,-0.1893,-0.1903,-0.1971,-0.2025,-0.2157,-0.2199,-0.2253,-0.2252,-0.2260,-0.2301,-0.2639,-0.2931,-0.2931,-0.3032,-0.3376,-0.3782,-0.4109,-0.4110,-0.4329,-0.4338,-0.4528,-0.4540,-0.4547,-0.5940,-0.6265,-0.7958,-0.7958,-0.7958,-0.8039,-0.8691,-0.8692,-0.8692,-0.8692,-0.8692,-0.8692,-0.8693,-0.9714,-0.9714
gFe+2,-0.3493,-0.3493,-0.3493,-0.3493,-0.3493,-0.3493,-0.3487,-0.3435,-0.3315,-0.3396,-0.3887,-0.4084,-0.4400,-0.4403,-0.4638,-0.4856,-0.6342,-0.7836,-0.7837,-0.8447,-1.1012,-1.4179,-1.6188,-1.6192,-1.7365,-1.7407,-1.8292,-1.8344,-1.8374,-2.3674,-2.4739,-2.9684,-2.9684,-2.9685,-2.9888,-3.1494,-3.1495,-3.1495,-3.1495,-3.1495,-3.1496,-3.1499,-3.3935,-3.3935
gMgHCO3+,0.0649,0.0649,0.0649,0.0649,0.0649,0.0650,0.0655,0.0700,0.0848,0.0849,0.0658,0.0570,0.0407,0.0403,0.0225,0.0117,-0.0494,-0.1166,-0.1167,-0.1467,-0.2835,-0.4550,-0.5556,-0.5558,-0.6112,-0.6131,-0.6522,-0.6545,-0.6558,-0.8664,-0.9051,-1.0731,-1.0731,-1.0731,-1.0791,-1.1262,-1.1262,-1.1262,-1.1262,-1.1262,-1.1263,-1.1263,-1.1993,-1.1993
