Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39
MgHCO3+,1.6917E-02,1.6917E-02,1.6917E-02,1.6917E-02,1.6918E-02,1.6930E-02,1.7048E-02,1.8261E-02,2.6831E-02,3.2682E-02,4.6363E-02,4.7984E-02,5.3067E-02,5.3189E-02,6.0172E-02,6.0596E-02,6.5222E-02,6.0669E-02,4.6318E-02,4.0602E-02,2.7471E-02,2.0537E-02,2.0537E-02,2.0111E-02,1.5837E-02,1.5661E-02,1.3783E-02,1.3517E-02,1.1501E-02,2.8372E-03,1.2230E-03,1.2229E-03,1.2224E-03,1.0920E-03,1.0077E-03,1.0077E-03,1.0077E-03,1.0074E-03,8.5781E-04,8.5781E-04
"FORMATE,aq",1.1227E-02,1.1227E-02,1.1227E-02,1.1227E-02,1.1228E-02,1.1237E-02,1.1322E-02,1.2193E-02,1.7938E-02,2.1649E-02,3.0722E-02,3.1926E-02,3.5474E-02,3.5525E-02,3.9701E-02,4.0078E-02,4.7962E-02,4.9273E-02,3.5632E-02,2.9200E-02,1.5357E-02,9.2073E-03,9.2062E-03,7.2289E-03,1.1147E-03,1.0734E-03,6.9482E-04,6.6930E-04,4.9123E-04,3.3786E-05,7.1352E-06,7.1337E-06,7.1071E-06,1.7356E-06,6.6562E-08,6.6554E-08,6.6536E-08,6.6421E-08,5.8365E-08,5.8366E-08
CaHCO3+,5.4680E-03,5.4680E-03,5.4680E-03,5.4680E-03,5.4684E-03,5.4725E-03,5.5133E-03,5.9321E-03,8.8431E-03,1.0761E-02,1.4777E-02,1.5177E-02,1.6230E-02,1.6250E-02,1.7069E-02,1.7096E-02,1.6676E-02,1.4230E-02,9.7979E-03,8.3016E-03,5.2377E-03,3.8189E-03,3.8189E-03,3.7373E-03,2.9481E-03,2.9155E-03,2.5692E-03,2.5201E-03,2.1520E-03,6.2826E-04,3.4694E-04,3.4693E-04,3.4680E-04,3.1416E-04,2.9944E-04,2.9944E-04,2.9942E-04,2.9934E-04,2.8357E-04,2.8357E-04
"KCl,aq",4.0300E-03,4.0300E-03,4.0300E-03,4.0301E-03,4.0306E-03,4.0354E-03,4.0842E-03,4.5952E-03,8.7471E-03,1.2248E-02,2.4185E-02,2.6153E-02,3.2878E-02,3.3017E-02,4.4588E-02,4.5646E-02,7.0720E-02,9.4598E-02,1.1322E-01,1.1786E-01,1.2684E-01,1.3092E-01,1.3092E-01,1.2926E-01,1.1579E-01,1.1582E-01,1.1621E-01,1.1629E-01,1.1692E-01,1.1781E-01,1.1439E-01,1.1439E-01,1.1437E-01,1.0866E-01,1.0661E-01,1.0661E-01,1.0660E-01,1.0659E-01,1.0560E-01,1.0560E-01
"Na(For),aq",3.2319E-03,3.2319E-03,3.2319E-03,3.2319E-03,3.2321E-03,3.2343E-03,3.2554E-03,3.4682E-03,4.7908E-03,5.5698E-03,7.1697E-03,7.3402E-03,7.7406E-03,7.7432E-03,8.0665E-03,8.0988E-03,8.5289E-03,7.4306E-03,4.3812E-03,3.3577E-03,1.5092E-03,8.2292E-04,8.2282E-04,6.3602E-04,8.9097E-05,8.5663E-05,5.4541E-05,5.2413E-05,3.7743E-05,2.3140E-06,4.8380E-07,4.8370E-07,4.8186E-07,1.1555E-07,4.4229E-09,4.4224E-09,4.4211E-09,4.4133E-09,3.9455E-09,3.9455E-09
HCO3-,3.2285E-03,3.2285E-03,3.2285E-03,3.2285E-03,3.2287E-03,3.2309E-03,3.2529E-03,3.4748E-03,4.8450E-03,5.5656E-03,6.4097E-03,6.4199E-03,6.3051E-03,6.2991E-03,5.8315E-03,5.7917E-03,4.8248E-03,3.5372E-03,2.0982E-03,1.7054E-03,9.8260E-04,6.7597E-04,6.7596E-04,6.5725E-04,5.0108E-04,4.9497E-04,4.3054E-04,4.2149E-04,3.5403E-04,8.6607E-05,4.2383E-05,4.2382E-05,4.2367E-05,3.8603E-05,3.6586E-05,3.6586E-05,3.6584E-05,3.6576E-05,3.4006E-05,3.4006E-05
CO3-2,6.7805E-04,6.7805E-04,6.7805E-04,6.7804E-04,6.7795E-04,6.7710E-04,6.6861E-04,5.8911E-04,2.6415E-04,1.5616E-04,3.8331E-05,3.1523E-05,1.6191E-05,1.5920E-05,5.5831E-06,5.1908E-06,1.3539E-06,3.6205E-07,7.1184E-08,4.0915E-08,1.1018E-08,5.0882E-09,5.0880E-09,4.7472E-09,2.9452E-09,2.8792E-09,2.2356E-09,2.1534E-09,1.5934E-09,2.6217E-10,2.5384E-10,2.5384E-10,2.5394E-10,2.7449E-10,3.1394E-10,3.1394E-10,3.1394E-10,3.1387E-10,5.3360E-10,5.3360E-10
"NaHCO3,aq",4.8498E-04,4.8498E-04,4.8498E-04,4.8498E-04,4.8502E-04,4.8536E-04,4.8876E-04,5.2292E-04,7.2032E-04,8.0843E-04,8.4464E-04,8.3188E-04,7.7762E-04,7.7656E-04,6.8356E-04,6.7494E-04,4.7538E-04,2.8766E-04,1.4471E-04,1.1268E-04,5.9123E-05,3.8241E-05,3.8240E-05,3.6708E-05,2.5691E-05,2.5343E-05,2.1699E-05,2.1192E-05,1.7442E-05,3.2527E-06,1.1521E-06,1.1521E-06,1.1514E-06,9.7955E-07,8.7661E-07,8.7658E-07,8.7652E-07,8.7626E-07,6.9742E-07,6.9742E-07
MgOH+,1.4983E-04,1.4983E-04,1.4983E-04,1.4983E-04,1.4984E-04,1.4988E-04,1.5030E-04,1.5467E-04,1.8636E-04,2.1063E-04,2.8830E-04,3.0062E-04,3.4044E-04,3.4117E-04,3.9777E-04,4.0284E-04,5.3188E-04,6.8982E-04,8.4911E-04,8.9309E-04,9.8975E-04,1.0564E-03,1.0565E-03,1.0673E-03,1.1256E-03,1.1206E-03,1.0671E-03,1.0595E-03,1.0004E-03,7.1259E-04,7.0360E-04,7.0361E-04,7.0379E-04,7.4468E-04,7.8154E-04,7.8155E-04,7.8156E-04,7.8158E-04,8.9998E-04,8.9998E-04
FeCl+,1.2282E-04,1.2282E-04,1.2282E-04,1.2282E-04,1.2283E-04,1.2295E-04,1.2412E-04,1.3633E-04,2.3561E-04,3.2409E-04,6.7955E-04,7.4590E-04,9.9819E-04,1.0046E-03,1.5069E-03,1.5510E-03,2.6129E-03,3.9171E-03,5.3235E-03,5.6707E-03,6.1145E-03,6.0405E-03,6.0403E-03,5.5681E-03,3.0026E-03,3.0114E-03,3.1007E-03,3.1092E-03,3.1718E-03,3.0796E-03,2.6533E-03,2.6531E-03,2.6501E-03,2.0190E-03,1.8424E-03,1.8423E-03,1.8421E-03,1.8409E-03,1.7168E-03,1.7168E-03
