C1,0.5000,0.000,2.5337E-02,0.5243,1.5921E-06,2.3002E-03,3.8981E-11,9.8007E-03,2.2036E-05,0.4640,1.5775E-03,
C1,0.6000,0.000,2.5874E-02,0.5253,1.6195E-06,2.3002E-03,3.8792E-11,9.8008E-03,2.2417E-05,0.4640,1.5867E-03,
C1,0.7000,0.000,2.6412E-02,0.5264,1.6460E-06,2.3002E-03,3.8590E-11,9.8009E-03,2.2800E-05,0.4640,1.5949E-03,
C1,0.8000,0.000,2.6950E-02,0.5275,1.6718E-06,2.3002E-03,3.8383E-11,9.8010E-03,2.3183E-05,0.4640,1.6027E-03,
C1,0.9000,0.000,2.7488E-02,0.5286,1.6972E-06,2.3003E-03,3.8176E-11,9.8012E-03,2.3564E-05,0.4641,1.6102E-03,
C1,1.000,0.000,2.8026E-02,0.5297,1.7221E-06,2.3003E-03,3.7973E-11,9.8013E-03,2.3944E-05,0.4641,1.6175E-03,
C1,1.000,0.000,2.8026E-02,0.5297,1.7221E-06,2.3003E-03,3.7973E-11,9.8013E-03,2.3944E-05,0.4641,1.6175E-03,
C2,EndTable:,C1,
C2,
C2,
C2,Table C2,Dissolved elements(ppm: mg/kg.sol),
C2,Xi,t(days),Ca,Cl,Fe,C,P,K,Mg,Na,Si,
C2,0.000,0.000,396.7,1.7854E+04,7.9749E-05,26.81,8.9553E-05,371.9,293.5,1.0354E+04,0.4338,
C2,1.0000E-08,0.000,396.7,1.7854E+04,1.4717E-04,26.81,8.9548E-05,371.9,293.5,1.0354E+04,0.4338,
C2,3.0000E-08,0.000,396.7,1.7854E+04,1.7391E-04,26.81,8.9537E-05,371.9,293.5,1.0354E+04,0.4338,
C2,1.0000E-07,0.000,396.8,1.7854E+04,5.3662E-04,26.81,8.9502E-05,371.9,293.4,1.0354E+04,0.4337,
C2,2.9312E-07,0.000,396.9,1.7854E+04,1.5055E-03,26.81,8.9403E-05,371.9,293.3,1.0354E+04,0.4335,
C2,8.8341E-07,0.000,397.4,1.7854E+04,4.3292E-03,26.81,8.9102E-05,371.9,293.0,1.0354E+04,0.4331,
C2,1.0000E-06,0.000,397.5,1.7854E+04,4.8679E-03,26.81,8.9043E-05,371.9,293.0,1.0354E+04,0.4330,
